posi	dep1_4	dep1_2	dep3_4
116	27	415	4704
117	27	418	4747
118	27	424	4783
119	27	432	4888
120	27	436	4916
121	27	441	5063
122	27	447	5250
123	27	450	5340
124	27	460	5427
125	27	465	5498
126	27	472	5567
127	27	484	5684
128	27	483	5721
129	27	491	5906
130	27	490	5970
131	27	491	6103
132	27	492	6231
133	27	492	6358
134	27	492	6416
135	27	494	6457
136	27	501	6500
137	27	506	6533
138	27	511	6561
139	27	511	6589
140	26	515	6650
141	26	515	6671
142	26	520	6718
143	26	531	6955
144	26	538	7072
145	26	540	7101
146	26	555	7258
147	26	563	7469
148	26	566	7534
149	26	572	7706
150	26	571	7720
151	27	577	8092
152	27	581	8256
153	30	598	8394
154	28	608	8523
155	30	620	8577
156	29	626	8596
157	29	633	8643
158	29	638	8656
159	28	654	8712
160	29	661	8749
161	31	696	8761
162	31	711	8849
163	31	713	8860
164	30	726	8965
165	30	732	9021
166	30	745	9204
167	30	748	9302
168	30	733	9302
169	30	734	9469
170	30	735	9526
171	29	746	9783
172	29	757	10048
173	29	767	10189
174	29	774	10327
175	29	775	10361
176	29	777	10454
177	28	779	10531
178	28	788	10693
179	28	786	10707
180	28	793	10884
181	28	760	11006
182	29	756	11204
183	29	738	11154
184	29	739	9721
185	29	733	9826
186	29	728	9619
187	29	747	9781
188	29	757	9996
189	29	757	10051
190	29	761	10104
191	29	764	10288
192	30	772	10480
193	30	777	10616
194	30	781	10731
195	30	786	10817
196	29	792	10940
197	29	794	11039
198	29	803	11142
199	29	808	11323
200	29	807	11328
201	29	809	11399
202	29	812	11485
203	29	817	11570
204	29	826	11743
205	29	832	11849
206	29	841	11998
207	29	847	12043
208	28	855	12106
209	28	863	12174
210	28	857	12252
211	28	862	12342
212	28	865	12402
213	28	883	12697
214	28	878	12732
215	28	880	12927
216	28	888	13003
217	28	890	13045
218	28	891	13107
219	28	888	13089
220	28	891	13135
221	27	891	13175
222	27	896	13174
223	27	899	13250
224	27	903	13305
225	26	911	13395
226	26	924	13494
227	26	928	13535
228	26	937	13635
229	25	940	13653
230	25	945	13753
231	26	952	13830
232	26	956	13901
233	25	961	14002
234	25	965	14084
235	25	973	14276
236	26	980	14394
237	26	989	14545
238	26	992	14563
239	26	999	14650
240	26	999	14703
241	26	1010	14773
242	26	1021	14922
243	26	1021	14972
244	26	1035	15171
245	26	1040	15230
246	26	1047	15302
247	25	1053	15384
248	25	1055	15398
249	25	1057	15467
250	25	1070	15593
251	25	1078	15684
252	25	1087	15762
253	25	1101	15899
254	25	1112	16047
255	25	1113	16045
256	25	1112	16046
257	25	1117	16058
258	25	1126	16168
259	25	1127	16191
260	25	1132	16275
261	25	1134	16397
262	24	1145	16491
263	24	1163	16692
264	24	1163	16697
265	24	1175	16777
266	24	1180	16789
267	24	1188	16871
268	24	1190	16917
269	24	1198	16943
270	24	1210	17015
271	24	1212	17095
272	24	1220	17188
273	24	1227	17290
274	24	1234	17359
275	23	1234	17383
276	23	1240	17400
277	23	1243	17369
278	23	1244	17422
279	23	1248	17365
280	23	1256	17468
281	13	1172	17592
282	13	1182	17702
283	13	1184	17748
284	13	1192	17771
285	13	1198	17864
286	13	1201	17840
287	13	1203	17838
288	13	1199	17850
289	13	1203	17866
290	13	1213	17916
291	13	1221	18061
292	13	1250	18340
293	13	1270	18364
294	13	1274	18358
295	13	1278	18396
296	13	1279	18339
297	13	1278	18316
298	13	1284	18337
299	13	1281	18246
300	13	1290	18500
301	13	1296	18401
302	13	1302	18442
303	13	1308	18366
304	13	1312	18325
305	13	1312	18345
306	13	1317	18524
307	13	1320	18496
308	13	1329	18547
309	13	1334	18620
310	13	1334	18663
311	13	1337	19012
312	13	1340	18799
313	13	1346	18872
314	13	1343	18787
315	13	1351	19012
316	13	1353	18863
317	13	1356	18972
318	13	1358	19029
319	13	1362	18982
320	13	1364	19082
321	16	1369	19000
322	16	1366	18705
323	16	1365	18680
324	16	1359	18511
325	16	1363	18581
326	16	1373	18644
327	16	1377	18664
328	16	1382	18578
329	16	1393	18792
330	16	1394	18788
331	16	1399	18882
332	16	1395	18422
333	16	1399	18815
334	16	1401	18879
335	16	1403	18890
336	16	1378	18834
337	16	1397	18436
338	16	1577	18591
339	16	1588	18689
340	16	1597	18723
341	16	1605	18322
342	16	1606	18101
343	8677	19976	20000
344	8678	19965	19997
345	8670	19943	20000
346	8685	19972	20000
347	8685	19975	20000
348	8674	19966	20000
349	8795	19965	20000
350	8819	19959	20000
351	8830	19929	20000
352	8843	19948	20000
353	8846	19974	20000
354	8835	19914	20000
355	8852	19929	20000
356	8847	19922	20000
357	8845	19941	20000
358	8841	19933	20000
359	8854	19935	20000
360	8841	19937	20000
361	8824	19948	20000
362	8807	19929	20000
363	8804	19937	20000
364	8805	19931	20000
365	8805	19943	20000
366	8805	19936	20000
367	8805	19908	20000
368	8805	19916	20000
369	8805	19918	20000
370	8805	19905	20000
371	8805	19918	20000
372	8805	19905	20000
373	8727	19862	19993
374	8687	19893	19978
375	8613	19893	19961
376	8564	19868	19952
377	8542	19899	19944
378	8510	19723	19926
379	8501	19810	19913
380	8480	19790	19899
381	8463	19832	19893
382	8438	19770	19880
383	8431	19818	19877
384	8414	19835	19893
385	8360	19819	19885
386	8026	19793	19884
387	7974	19764	19843
388	8017	19762	19838
389	7990	19515	19783
390	8027	19747	19829
391	8031	19724	19810
392	8054	19693	19786
393	8075	19703	19798
394	8013	19640	19771
395	8013	19682	19801
396	8032	19678	19805
397	8049	19658	19785
398	8076	19656	19822
399	8025	19487	19692
400	8013	19537	19702
401	8041	19575	19810
402	8064	19572	19817
403	8059	19566	19827
404	8020	19558	19786
405	8013	19553	19843
406	7994	19502	19662
407	8024	19538	19730
408	7996	19477	19676
409	8033	19498	19845
410	8030	19480	19701
411	8078	19477	19709
412	8054	19465	19687
413	7975	19422	19634
414	7984	19454	19804
415	7964	19439	19636
416	7962	19431	19786
417	7982	19423	19767
418	7981	19394	19626
419	7983	19403	19812
420	8000	19368	19679
421	8020	19306	19841
422	8004	19241	19641
423	7956	19187	19513
424	7948	19186	19687
425	7968	19186	19737
426	7926	19160	19782
427	7918	19165	19778
428	7890	19125	19686
429	7906	19083	19786
430	7924	19066	19679
431	7920	19044	19747
432	7894	19023	19660
433	7897	19016	19739
434	7926	19016	19772
435	7871	18979	19726
436	7777	18964	19652
437	7752	18922	19667
438	7758	18893	19713
439	7731	18872	19730
440	7750	18852	19743
441	7733	18826	19654
442	7648	18797	19750
443	7586	18774	19719
444	7559	18663	19576
445	7560	18710	19643
446	7562	18721	19651
447	7547	18721	19623
448	7562	18712	19687
449	7570	18703	19670
450	7581	18693	19588
451	7525	18684	19548
452	7529	18677	19581
453	7538	18673	19586
454	7521	18650	19588
455	7549	18639	19621
456	7485	18625	19505
457	7472	18620	19514
458	7428	18616	19476
459	7392	18602	19435
460	7408	18592	19453
461	7369	18582	19403
462	7313	18592	19577
463	7329	18626	19608
464	7335	18599	19606
465	7322	18597	19569
466	7347	18572	19591
467	7318	18470	19552
468	7319	18542	19613
469	7276	18562	19629
470	7300	18561	19655
471	7282	18555	19714
472	7329	18566	19855
473	7317	18613	19909
474	7318	18772	19905
475	7299	19196	19927
476	7286	19485	19956
477	7420	19919	19965
478	7443	19946	19969
479	7441	19925	19983
480	7406	19942	19981
481	7356	19936	19981
482	7358	19936	19965
483	7348	19889	19958
484	7342	19921	19948
485	7340	19958	19973
486	7321	19958	19979
487	7406	19930	19986
488	7319	19921	19983
489	7304	19941	19975
490	7294	19952	19982
491	7320	19936	19969
492	7418	19952	19970
493	7371	19943	19976
494	7409	19962	19982
495	7395	19958	19979
496	7356	19934	19973
497	7380	19950	19972
498	7435	19964	19977
499	7371	19938	19973
500	7358	19954	19979
501	7327	19958	19979
502	7320	19943	19968
503	7299	19922	19963
504	7322	19946	19970
505	7305	19885	19928
506	7286	19793	19915
507	7306	19866	19934
508	7316	19736	19918
509	7270	19709	19901
510	7332	19352	19819
511	7308	19331	19800
512	7293	19303	19768
513	7221	19343	19788
514	7204	19175	19660
515	6956	19056	19583
516	6926	19086	19622
517	6911	18959	19539
518	6907	19098	19581
519	7153	19127	19630
520	7200	19126	19642
521	7357	19346	19735
522	7314	19272	19713
523	7271	19427	19764
524	7292	19748	19888
525	7292	19856	19945
526	7369	19878	19934
527	7419	19815	19942
528	7405	19866	19937
529	7425	19706	19898
530	7461	19818	19938
531	7455	19792	19900
532	7428	19847	19903
533	7444	19802	19885
534	7486	19735	19861
535	7426	19669	19887
536	7439	19476	19859
537	7355	19411	19869
538	7348	19392	19835
539	7418	19402	19881
540	7341	19373	19718
541	7373	19410	19838
542	7334	19351	19838
543	7331	19280	19817
544	7331	19334	19863
545	7358	19436	19831
546	7330	19549	19851
547	7294	19584	19836
548	7301	19546	19870
549	7326	19484	19894
550	7307	19377	19782
551	7291	19369	19773
552	7266	19457	19861
553	7323	19530	19893
554	7374	19540	19873
555	7378	19600	19903
556	7394	19633	19920
557	7394	19505	19847
558	7469	19620	19916
559	7446	19464	19807
560	7463	19557	19888
561	7491	19497	19883
562	7477	19358	19843
563	7481	19433	19904
564	7531	19454	19847
565	7523	19687	19922
566	7578	19666	19885
567	7591	19712	19874
568	7644	19704	19893
569	7652	19444	19746
570	7605	19301	19724
571	3338	8382	17292
572	3070	8273	17226
573	3075	8279	17339
574	3039	8342	17340
575	3074	8524	17378
576	3046	8613	17396
577	3111	8956	16439
578	3124	9129	16975
579	3120	9140	17062
580	3122	9190	17176
581	3130	9216	17310
582	3141	9249	17729
583	3153	9352	18211
584	3168	9472	18343
585	3166	9580	18257
586	3172	9637	18216
587	3191	9816	18211
588	3228	9879	18246
589	3308	9941	18373
590	3364	9961	18346
591	3457	9977	18475
592	3478	9985	18421
593	3505	10009	18362
594	3547	10222	18433
595	3556	10528	18431
596	3571	10614	18556
597	3577	10760	18623
598	3589	10790	18753
599	3604	10809	18852
600	3608	10818	18897
601	3610	10823	18924
602	3666	10844	18949
603	3679	10861	18950
604	3691	10880	18947
605	3693	10920	18910
606	3713	10967	18971
607	3736	11067	19003
608	3751	11139	19096
609	3764	11178	19247
610	3764	11214	19253
611	3788	11220	19255
612	3798	11223	19215
613	3812	11231	19218
614	3829	11292	19361
615	3842	11325	19449
616	3850	11303	19248
617	3861	11314	19235
618	3867	11351	19252
619	3878	11409	19435
620	3872	11398	19394
621	3891	11421	19475
622	3884	11400	19313
623	3891	11397	19276
624	3895	11411	19344
625	3905	11462	19502
626	3933	11469	19384
627	3948	11439	19339
628	3962	11425	19378
629	3975	11511	19509
630	3984	11570	19571
631	4011	11591	19439
632	4041	11706	19570
633	4074	11769	19518
634	4113	11930	19536
635	4160	12000	19618
636	4187	12054	19727
637	4202	12085	19367
638	4218	12140	19562
639	4227	12174	19620
640	4234	12227	19706
641	4252	12160	19387
642	4257	12137	19266
643	4248	12258	19548
644	4261	12237	19454
645	4286	12268	19528
646	4305	12277	19567
647	4309	12262	19498
648	4323	12240	19351
649	4340	12247	19376
650	4377	12262	19423
651	4523	12337	19485
652	4906	12844	19571
653	5456	13521	19727
654	5942	14300	19837
655	6394	15366	19925
656	6574	15742	19873
657	6653	16210	19905
658	6676	16401	19912
659	6697	16471	19939
660	6701	16457	19935
661	6702	16467	19932
662	6711	16528	19926
663	6734	16568	19944
664	6735	16585	19933
665	9638	19849	20000
666	9673	19856	20001
667	9690	19943	20002
668	9703	19907	20003
669	9751	19884	20004
670	9733	19873	20004
671	9723	19893	20005
672	9740	19891	20005
673	9758	19905	20004
674	9797	19895	20002
675	9811	19856	20007
676	9764	19885	20009
677	9709	19876	20008
678	9758	19852	20009
679	9740	19872	20009
680	9743	19697	20009
681	9749	19819	20007
682	9743	19797	20005
683	9765	19852	20005
684	9730	19761	19983
685	9722	19813	19976
686	9494	19685	19886
687	9512	19683	19881
688	9512	19682	19870
689	9437	19656	19861
690	9467	19700	19886
691	9488	19460	19848
692	9471	19653	19848
693	9468	19638	19857
694	9492	19666	19856
695	9689	19810	19995
696	9629	19749	19994
697	9598	19795	19989
698	9570	19788	19988
699	9575	19815	19987
700	9568	19858	19988
701	9597	19733	19985
702	9586	19698	19979
703	9494	19750	19974
704	9473	19833	19974
705	9	5440	18442
706	9	5415	18489
707	9	5375	18406
708	13	5316	18272
709	13	5317	18406
710	14	5296	18426
711	24	5286	18501
712	25	5271	18511
713	25	5261	18554
714	25	5206	18403
715	25	5179	18346
716	25	5126	18138
717	25	5111	18115
718	25	5078	17998
719	26	5055	17915
720	26	5052	17876
721	26	5034	17805
722	26	4583	16931
723	26	4552	17048
724	26	4521	16926
725	26	4493	16883
726	26	4457	16835
727	42	4702	16863
728	43	4684	16833
729	43	4670	16800
730	43	4663	16856
731	43	4646	16872
732	43	4640	16958
733	43	4632	16960
734	43	4628	16914
735	43	4618	16928
736	43	4620	16927
737	43	4611	16917
738	43	4627	17036
739	43	4574	16919
740	43	4561	16856
741	43	4554	16699
742	43	4528	16649
743	43	4514	16598
744	43	4510	16563
745	43	4503	16570
746	43	4496	16436
747	43	4492	16445
748	44	4488	16343
749	44	4453	16213
750	44	4425	16089
751	44	4399	16020
752	44	4367	15978
753	44	4351	16016
754	46	4336	15989
755	46	4325	15974
756	48	4305	15695
757	49	4292	15679
758	50	4287	15648
759	51	4256	15595
760	52	4239	15585
761	54	4228	15578
762	55	4227	15575
763	56	4231	15548
764	57	4201	15479
765	57	4186	15392
766	59	4156	15335
767	64	4140	15367
768	67	4146	15418
769	76	4077	15275
770	77	4052	15199
771	80	3979	15076
772	91	3958	15050
773	99	3944	15036
774	159	3924	15047
775	191	3899	14960
776	218	3902	15021
777	336	4167	15158
778	720	4550	15430
779	3715	19854	19997
780	3615	19861	19997
781	3584	19862	19996
782	3541	19879	19995
783	3440	19854	19995
784	3412	19870	19997
785	3398	19783	19996
786	3360	19772	19994
787	3359	19698	19993
788	3329	19469	19991
789	3331	19510	19993
790	3296	19458	19995
791	3313	19487	19996
792	3310	19467	19997
793	3373	19521	19995
794	3387	19624	19995
795	3451	19647	19990
796	3540	19746	19986
797	3575	19768	19986
798	4054	19847	19996
799	4341	19871	19995
800	4442	19860	19995
801	4500	19862	19992
802	4511	19836	19994
803	4559	19889	19995
804	4565	19840	19995
805	4606	19802	19997
806	4684	19886	19998
807	4706	19812	19998
808	4820	19846	19994
809	4832	19845	19993
810	4903	19865	19995
811	4911	19852	19995
812	4883	19865	19994
813	4989	19854	19996
814	4967	19873	19996
815	5180	19884	19997
816	5769	19874	19997
817	5747	19835	19996
818	5729	19863	19993
819	5699	19798	19994
820	5698	19810	19996
821	5697	19831	19997
822	5693	19867	19996
823	5685	19830	19995
824	5664	19846	19994
825	5658	19863	19988
826	5626	19777	19951
827	5420	19141	19955
828	5419	19195	19977
829	5413	19221	19976
830	5421	19247	19973
831	5421	19218	19984
832	5410	19224	19980
833	5447	19337	19991
834	5484	19444	19993
835	5497	19390	19994
836	6584	19396	19996
837	6576	19298	19997
838	6599	19373	19996
839	6608	19394	19997
840	6608	19333	19997
841	6578	19286	19995
842	6546	18920	19997
843	6552	18969	19998
844	6569	18975	19996
845	6564	18977	19993
846	4368	18354	19993
847	4456	19551	19996
848	4480	19640	19997
849	4489	19655	19998
850	4534	19864	19998
851	4536	19820	19990
852	4570	19672	19994
853	8372	19726	19991
854	8357	19689	19996
855	8355	19819	19995
856	8328	19817	19991
857	8955	19886	19987
858	8950	19887	19994
859	8917	19687	19987
860	8339	19764	19992
861	8360	19748	19996
862	8357	19734	19997
863	8360	19728	19997
864	8350	19664	19993
865	8341	19683	19978
866	8340	19689	19954
867	8282	19621	19913
868	13001	19759	19918
869	12977	19737	19940
870	12903	19807	19963
871	12846	19855	19978
872	12847	19925	19995
873	12819	19660	19970
874	12819	19808	19991
875	12812	19821	19988
876	12803	19768	19984
877	12768	19828	19986
878	12760	19843	19988
879	12740	19837	19989
880	12745	19838	19985
881	12727	19892	19987
882	12725	19870	19990
883	12721	19875	19992
884	12716	19886	19988
885	12711	19899	19991
886	12703	19934	19988
887	12691	19906	19989
888	12668	19902	19987
889	12651	19883	19988
890	12666	19849	19988
891	12670	19924	19987
892	12598	19862	19969
893	8524	19840	19972
894	8523	19910	19984
895	8537	19858	19977
896	8559	19900	19981
897	8585	19787	19968
898	8591	19760	19956
899	8593	19885	19982
900	8600	19913	19986
901	8607	19892	19979
902	8585	19745	19948
903	8588	19821	19968
904	8592	19901	19984
905	8599	19852	19973
906	8623	19937	19988
907	8631	19915	19979
908	8636	19890	19972
909	8640	19867	19965
910	8646	19921	19989
911	8660	19891	19978
912	8662	19928	19984
913	8663	19876	19964
914	8660	19761	19938
915	8673	19779	19952
916	8673	19781	19956
917	8682	19892	19982
918	8677	19788	19956
919	8675	19895	19975
920	8675	19914	19990
921	8670	19925	19984
922	8660	19907	19986
923	8652	19888	19989
924	8637	19887	19982
925	8625	19904	19987
926	8602	19842	19972
927	8594	19898	19990
928	8574	19903	19986
929	8565	19924	19990
930	8556	19925	19993
931	8555	19840	19982
932	8560	19832	19980
933	8569	19831	19975
934	8578	19890	19989
935	8592	19861	19976
936	8621	19872	19984
937	8632	19856	19976
938	8816	19899	19979
939	8821	19850	19978
940	8823	19919	19994
941	8828	19897	19993
942	8831	19896	19990
943	8968	19841	19989
944	8006	13547	19548
945	7527	13440	19519
946	7531	13482	19538
947	7536	13593	19587
948	7538	13707	19650
949	7525	13761	19681
950	7527	14014	19730
951	7530	14075	19774
952	7548	14194	19853
953	7550	14371	19948
954	7560	14701	19983
955	7576	15517	19993
956	7580	15603	19995
957	7584	15635	19994
958	7591	15709	19991
959	7598	15778	19994
960	7605	15879	19978
961	7605	15930	19987
962	7613	16400	19996
963	7615	16477	19992
964	7613	16805	19990
965	7619	16733	19989
966	15795	19895	20000
967	15895	19838	20000
968	15964	19950	20001
969	16113	19943	20002
970	16382	19971	20001
971	16509	19867	20002
972	16855	19954	20003
973	16532	19948	20003
974	16860	19957	20004
975	17291	19968	20005
976	17601	19961	20005
977	18186	19951	20005
978	18306	19962	20005
979	18422	19931	20005
980	18577	19977	20005
981	18722	19958	20005
982	18754	19931	20005
983	18789	19933	20005
984	18844	19869	20005
985	18897	19932	20006
986	18983	19945	20005
987	19064	19966	20006
988	19313	19973	20006
989	19467	19946	20006
990	19633	19985	20006
991	19713	19978	20005
992	19703	19937	20006
993	19714	19955	20006
994	19722	19974	20006
995	19744	19963	20006
996	14930	19628	20004
997	14264	19943	20002
998	13242	19971	20001
999	13780	19979	20001
1000	13545	19921	19999
1001	13815	19931	20001
1002	14101	19891	19999
1003	14244	19953	20001
1004	14232	19944	20001
1005	3	7582	19860
1006	3	7604	19853
1007	3	7609	19894
1008	3	7590	19917
1009	3	7580	19870
1010	3	7564	19790
1011	4	7558	19913
1012	4	7542	19860
1013	4	7528	19891
1014	4	7511	19859
1015	4	7500	19954
1016	4	7485	19956
1017	5	7425	19894
1018	5	7403	19921
1019	5	7383	19794
1020	5	7374	19844
1021	5	7373	19902
1022	5	7373	19970
1023	5	7373	19922
1024	5	7373	19588
1025	5	7372	19789
1026	5	7368	19866
1027	5	7365	19745
1028	5	7364	19828
1029	27	8094	19883
1030	27	8094	19752
1031	27	8094	19809
1032	27	8093	19857
1033	27	8091	19890
1034	27	8089	19843
1035	27	8088	19828
1036	27	8087	19851
1037	27	8086	19910
1038	27	8086	19846
1039	27	8084	19875
1040	27	8082	19829
1041	27	8074	19779
1042	27	8067	19903
1043	28	8048	19810
1044	28	8010	19905
1045	28	7970	19925
1046	28	7937	19878
1047	28	7925	19911
1048	28	7906	19888
1049	28	7860	19853
1050	28	7846	19895
1051	29	7834	19929
1052	29	7813	19900
1053	29	7794	19804
1054	29	7758	19850
1055	33	7729	19900
1056	34	7619	19838
1057	34	7618	19935
1058	34	7626	19895
1059	34	7651	19889
1060	33	7692	19863
1061	34	7706	19919
1062	34	7706	19902
1063	34	7725	19920
1064	35	7761	19866
1065	35	7824	19850
1066	36	7837	19922
1067	36	7855	19809
1068	36	7863	19885
1069	36	7892	19819
1070	37	7900	19876
1071	37	7882	19868
1072	37	7903	19886
1073	37	7898	19887
1074	38	7929	19865
1075	38	7913	19868
1076	40	7951	19893
1077	42	7986	19834
1078	42	7956	19883
1079	45	7918	19863
1080	49	7872	19898
1081	53	7847	19879
1082	58	7862	19818
1083	73	7903	19848
1084	90	7962	19829
1085	101	7994	19881
1086	194	8213	19808
1087	345	8490	19865
1088	16812	19966	19999
1089	17297	19937	20000
1090	18308	19916	19998
1091	18508	19971	19997
1092	18627	19947	19996
1093	18926	19977	19998
1094	18982	19618	20000
1095	19182	19824	20001
1096	19484	19862	20000
1097	18991	19768	20001
1098	19259	19835	20001
1099	19160	19870	20002
1100	19231	19706	20001
1101	19767	19923	20002
1102	19049	19832	20003
1103	19073	19755	19995
1104	18747	19549	19996
1105	18214	19327	19997
1106	18929	19891	19997
1107	19181	19892	19997
1108	19709	19904	19997
1109	19630	19921	19997
1110	19306	19866	19998
1111	19504	19910	19996
1112	19147	19701	19995
1113	19153	19859	19998
1114	18972	19741	19998
1115	19557	19910	19999
1116	19685	19991	19998
1117	19684	19891	19999
1118	19726	19897	19999
1119	19523	19937	19999
1120	19475	19929	19999
1121	19537	19961	19999
1122	19280	19859	19999
1123	19274	19932	19999
1124	19281	19941	19999
1125	19492	19932	20000
1126	19789	19939	20001
1127	19727	19940	20002
1128	19807	19942	20002
1129	19836	19946	20003
1130	19801	19921	20004
1131	19774	19963	20005
1132	19897	19938	20005
1133	19820	19913	20006
1134	19774	19911	20007
1135	19743	19848	20005
1136	19767	19907	20012
1137	19823	19930	20015
1138	19770	19952	20016
1139	19759	19958	20017
1140	19745	19925	20017
1141	19685	19959	20018
1142	19682	19948	20019
1143	19581	19910	20019
1144	19606	19936	20021
1145	19720	19957	20022
1146	19633	19940	20023
1147	19502	19816	20024
1148	19497	19915	20024
1149	19503	19947	20024
1150	19675	19962	20025
1151	19199	19883	20002
1152	19061	19903	20026
1153	19082	19880	20027
1154	19046	19946	20028
1155	19148	19940	20029
1156	19550	19917	20029
1157	19391	19924	20030
1158	19427	19971	20030
1159	19481	19942	20031
1160	19357	19928	20032
1161	19383	19873	20033
1162	19372	19952	20034
1163	19717	19930	20034
1164	19709	19940	20035
1165	19683	19901	20035
1166	19765	19969	20036
1167	19673	19955	20037
1168	19471	19926	20038
1169	19341	19941	20020
1170	19148	19899	20021
1171	19052	19913	20022
1172	19038	19941	20023
1173	18908	19972	20043
1174	19094	19949	20044
1175	18863	19839	20044
1176	18987	19918	20045
1177	18998	19916	20046
1178	19210	19906	20046
1179	19256	19911	20048
1180	19389	19917	20049
1181	19411	19916	20050
1182	19234	19866	20051
1183	19282	19912	20052
1184	19241	19925	20053
1185	19145	19908	20053
1186	19291	19918	20053
1187	19320	19905	20054
1188	19355	19942	20055
1189	19362	19925	20056
1190	19510	19924	20057
1191	19597	19899	20058
1192	19314	19839	20059
1193	19037	19901	20060
1194	10340	19837	20059
1195	10368	19907	20059
1196	10469	19919	20060
1197	10501	19885	20061
1198	10535	19915	20062
1199	10564	19900	20063
1200	10580	19863	20064
1201	10599	19907	20065
1202	10605	19931	20067
1203	10611	19904	20068
1204	10624	19862	20067
1205	10644	19834	20070
1206	10678	19895	20071
1207	10726	19849	20072
1208	10789	19936	20072
1209	10827	19904	20072
1210	10911	19879	20073
1211	11011	19888	20074
1212	11126	19933	20075
1213	11239	19904	20076
1214	11301	19916	20077
1215	11354	19868	20055
1216	11373	19867	20079
1217	11379	19922	20080
1218	11400	19851	20081
1219	11403	19891	20082
1220	11421	19850	20083
1221	11475	19915	20083
1222	11472	19889	20084
1223	11521	19914	20085
1224	11517	19893	20066
1225	11562	19899	20067
1226	11593	19886	20068
1227	11622	19890	20068
1228	11660	19844	20069
1229	11715	19912	20070
1230	11787	19866	20071
1231	11877	19902	20072
1232	11791	19874	20073
1233	11820	19802	20069
1234	11824	19860	20074
1235	11820	19841	20075
1236	11815	19893	20076
1237	11826	19814	20077
1238	11864	19848	20078
1239	11933	19937	20079
1240	11955	19896	20070
1241	12160	19864	20056
1242	12201	19939	20024
1243	12266	19891	20052
1244	12299	19944	20053
1245	12317	19626	20058
1246	12332	19611	20059
1247	12355	19825	20060
1248	12364	19639	20078
1249	12385	19714	20079
1250	12416	19797	20080
1251	12448	19628	20081
1252	12486	19879	20082
1253	12523	19753	20083
1254	12562	19783	20084
1255	12582	19521	20085
1256	12601	19141	20085
1257	12607	19365	20086
1258	12621	19433	20086
1259	12630	19837	20084
1260	12634	19838	20086
1261	12659	19772	20087
1262	12694	19819	20086
1263	12757	19691	20086
1264	12788	19699	20085
1265	14521	19564	20086
1266	14566	19885	20087
1267	14625	19979	20088
1268	14709	19849	20088
1269	14784	19840	20089
1270	14823	19857	20089
1271	14831	19907	20098
1272	14838	19940	20099
1273	14839	19831	20100
1274	14840	19926	20092
1275	14840	19917	20101
1276	14841	19929	20102
1277	14844	19921	20103
1278	14852	19922	20103
1279	14873	19925	20104
1280	14902	19926	20105
1281	14944	19891	20106
1282	14981	19938	20107
1283	15027	19913	20108
1284	15027	19874	20108
1285	15027	19865	20108
1286	15027	19815	20108
1287	15027	19893	20108
1288	15027	19916	20108
1289	15027	19935	20108
1290	15027	19928	20108
1291	15027	19895	20108
1292	15007	19934	20106
1293	15027	19933	20108
1294	15027	19894	20108
1295	15027	19920	20108
1296	15026	19936	20108
1297	15025	19909	20108
1298	15023	19716	20108
1299	15024	19829	20108
1300	15021	19925	20108
1301	15024	19938	20108
1302	15023	19908	20108
1303	15018	19878	20106
1304	15018	19884	20107
1305	15018	19931	20107
1306	15018	19930	20108
