Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_406030,GenBank,"MN938384,EPI_ISL_406030",Complete,29838,High,Homo sapiens,China / Guangdong / Shenzhen,Asia,China,Guangdong
EPI_ISL_405839,GenBank,"MN975262,EPI_ISL_405839",Complete,29891,High,Homo sapiens,China / Guangdong / Shenzhen,Asia,China,Guangdong
EPI_ISL_404895,GenBank,"MN985325,EPI_ISL_404895",Complete,29882,High,Homo sapiens,United States / Washington / Snohomish County,Asia,China,Hubei
EPI_ISL_404253,GenBank,"MN988713,EPI_ISL_404253",Complete,29882,High,Homo sapiens,United States / Illinois /Chicago,Asia,China,Hubei
EPI_ISL_402123,Genome Warehouse,"GWHABKF00000001,EPI_ISL_402123, MT019529",Complete,29899,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_403931,Genome Warehouse,"GWHABKG00000001,EPI_ISL_403931, MT019530",Complete,29889,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_403930,Genome Warehouse,"GWHABKH00000001,EPI_ISL_403930, MT019531",Complete,29899,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_403929,Genome Warehouse,"GWHABKI00000001,EPI_ISL_403929, MT019532",Complete,29890,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_403928,Genome Warehouse,"GWHABKJ00000001,EPI_ISL_403928, MT019533",Complete,29883,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406031,GISAID,"EPI_ISL_406031,",Complete,29880,High,Homo sapiens,China / Taiwan / Kaohsiung,Asia,China,Taiwan
EPI_ISL_406034,GenBank,"MN994467,EPI_ISL_406034",Complete,29882,High,Homo sapiens,United States / California / Los Angeles,Asia,China,Hubei
EPI_ISL_406036,GenBank,"MN994468,EPI_ISL_406036",Complete,29883,High,Homo sapiens,United States / California / Orange County,Asia,China,Hubei
EPI_ISL_406223,GenBank,"MN997409,EPI_ISL_406223",Complete,29882,High,Homo sapiens,United States / Arizona / Phoenix,Asia,China,Hubei
EPI_ISL_406716,GenBank,"MN988668,EPI_ISL_406716",Complete,29881,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406717,GenBank,"MN988669,EPI_ISL_406717",Complete,29881,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406531,GISAID,"EPI_ISL_406531,",Complete,29808,High,Homo sapiens,China / Guangdong Province,Asia,China,Guangdong
EPI_ISL_406533,GISAID,"EPI_ISL_406533,",Complete,29839,High,Homo sapiens,China / Guangdong Province / Guangzhou City,Asia,China,Guangdong
EPI_ISL_406534,GISAID,"EPI_ISL_406534,",Complete,29839,High,Homo sapiens,China / Guangdong Province,Asia,China,Guangdong
EPI_ISL_406535,GISAID,"EPI_ISL_406535,",Complete,29839,High,Homo sapiens,China / Guangdong Province,Asia,China,Guangdong
EPI_ISL_406536,GISAID,"EPI_ISL_406536,",Complete,29803,High,Homo sapiens,China / Guangdong Province,Asia,China,Guangdong
EPI_ISL_406538,GISAID,"EPI_ISL_406538,",Complete,29839,High,Homo sapiens,China / Guangdong Province,Asia,China,Guangdong
EPI_ISL_406592,GISAID,"EPI_ISL_406592,",Complete,29891,High,Homo sapiens,China/ Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_406594,GISAID,"EPI_ISL_406594,",Complete,29898,High,Homo sapiens,China/ Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_406595,GISAID,"EPI_ISL_406595,",Complete,29899,High,Homo sapiens,China/ Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_406593,GISAID,"EPI_ISL_406593,",Complete,29891,High,Homo sapiens,China/ Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_406597,GISAID,"EPI_ISL_406597,",Complete,29809,High,Homo sapiens,France / Ile-de-France / Paris,Asia,China,Hubei
EPI_ISL_406596,GISAID,"EPI_ISL_406596,",Complete,29853,High,Homo sapiens,France / Ile-de-France / Paris,Asia,China,Hubei
EPI_ISL_402127,Genome Warehouse,"GWHABKK00000001,EPI_ISL_402127, MN996527",Complete,29825,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402124,Genome Warehouse,"GWHABKL00000001,EPI_ISL_402124, MN996528",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402128,Genome Warehouse,"GWHABKM00000001,EPI_ISL_402128, MN996529",Complete,29852,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402129,Genome Warehouse,"GWHABKN00000001,EPI_ISL_402129, MN996530",Complete,29854,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402130,Genome Warehouse,"GWHABKO00000001,EPI_ISL_402130, MN996531",Complete,29857,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406798,CNGBdb,"CNA0007332,LR757998, EPI_ISL_406798, NMDC60013002-01",Complete,29834,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406800,CNGBdb,"CNA0007334,LR757996, EPI_ISL_406800, NMDC60013002-03",Complete,29851,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406801,CNGBdb,"CNA0007335,LR757995, EPI_ISL_406801, NMDC60013002-04",Complete,29843,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_406844,GenBank,"MT007544,EPI_ISL_406844",Complete,29893,High,Homo sapiens,Australia / Victoria / Clayton,Asia,China,Hubei
EPI_ISL_406862,GISAID,"EPI_ISL_406862,",Complete,29782,High,Homo sapiens,Germany / Bavaria / Munich,Europe,Germany,Bavaria
NMDC60013002-06,NMDC,"NMDC60013002-06,",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,
NMDC60013002-07,NMDC,"NMDC60013002-07,",Complete,29890,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,
NMDC60013002-08,NMDC,"NMDC60013002-08,",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,
NMDC60013002-09,NMDC,"NMDC60013002-09,",Complete,29896,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,
NMDC60013002-10,NMDC,"NMDC60013002-10,",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,
EPI_ISL_406973,GISAID,"EPI_ISL_406973,",Complete,29845,High,Homo sapiens,Singapore,Asia,China,Hubei
EPI_ISL_407073,GISAID,"EPI_ISL_407073,",Complete,29843,High,Homo sapiens,United Kingdom,Asia,China,Hubei
EPI_ISL_407071,GISAID,"EPI_ISL_407071,",Complete,29843,High,Homo sapiens,United Kingdom,Asia,China,Hubei
EPI_ISL_406970,Genome Warehouse,"GWHABKS00000001,EPI_ISL_406970, MT039873",Complete,29833,High,Homo sapiens,China / Zhejiang / Hangzhou,Asia,China,Hubei
EPI_ISL_407214,GenBank,"MT020880,EPI_ISL_407214",Complete,29882,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_407215,GenBank,"MT020881,EPI_ISL_407215",Complete,29882,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_407193,GISAID,"EPI_ISL_407193,",Complete,29818,High,Homo sapiens,South Korea / Gyeonggi-do,Asia,South Korea,Gyeonggi
EPI_ISL_407084,GenBank,"LC521925,EPI_ISL_407084",Complete,29848,High,Homo sapiens,Japan / Aichi,Asia,Japan,Aichi
EPI_ISL_407313,GISAID,"EPI_ISL_407313,",Complete,29836,High,Homo sapiens,China / Zhejiang / Hangzhou,Asia,China,Hubei
EPI_ISL_407894,GISAID,"EPI_ISL_407894,",Complete,29842,High,Homo sapiens,Australia / Queensland / Gold Coast,Asia,China,Hubei
EPI_ISL_407896,GISAID,"EPI_ISL_407896,",Complete,29864,High,Homo sapiens,Australia / Queensland / Gold Coast,Oceania,Australia,Queensland
EPI_ISL_407893,GISAID,"EPI_ISL_407893,",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Asia,China,Hubei
EPI_ISL_407976,GISAID,"EPI_ISL_407976,",Complete,29882,High,Homo sapiens,Belgium / Leuven,Asia,China,Hubei
EPI_ISL_407988,GISAID,"EPI_ISL_407988,",Complete,29843,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_407987,GISAID,"EPI_ISL_407987,",Complete,29844,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_408008,GenBank,"MT027062,EPI_ISL_408008",Complete,29882,High,Homo sapiens,United States / California,North America,USA,California
EPI_ISL_408009,GenBank,"MT027063,EPI_ISL_408009",Complete,29882,High,Homo sapiens,United States / California,North America,USA,California
EPI_ISL_408010,GenBank,"MT027064,EPI_ISL_408010",Complete,29882,High,Homo sapiens,United States / California,Asia,China,Hubei
EPI_ISL_408478,GISAID,"EPI_ISL_408478,",Complete,29893,High,Homo sapiens,China / Chongqing / Yongchuan,Asia,China,Chongqing
EPI_ISL_408484,GISAID,"EPI_ISL_408484,",Complete,29891,High,Homo sapiens,China / Sichuan / Chengdu,Asia,China,Sichuan
EPI_ISL_408480,GISAID,"EPI_ISL_408480,",Complete,29891,High,Homo sapiens,China / Yunnan / Kunming,Asia,China,Yunnan
EPI_ISL_408489,GenBank,"MT066175,EPI_ISL_408489",Complete,29870,High,Homo sapiens,China / Taiwan / Taipei,Asia,China,Hubei
EPI_ISL_408431,GISAID,"EPI_ISL_408431,",Complete,29851,High,Homo sapiens,France / Ile De France / Paris,Europe,France,Ile de France
EPI_ISL_408486,GISAID,"EPI_ISL_408486,",Complete,29891,High,Homo sapiens,China / Jiangxi / Pingxiang,Asia,China,Jiangxi
EPI_ISL_408479,GISAID,"EPI_ISL_408479,",Complete,29893,High,Homo sapiens,China / Chongqing / Zhongxian,Asia,China,Chongqing
EPI_ISL_408488,GISAID,"EPI_ISL_408488,",Complete,29890,High,Homo sapiens,China / Jiangsu / Huaian,Asia,China,Jiangsu
EPI_ISL_408430,GISAID,"EPI_ISL_408430,",Complete,29863,High,Homo sapiens,France / Ile De France / Paris,Asia,China,Hubei
EPI_ISL_408481,GISAID,"EPI_ISL_408481,",Complete,29891,High,Homo sapiens,China / Chongqing,Asia,China,Chongqing
EPI_ISL_408482,GISAID,"EPI_ISL_408482,",Complete,29891,High,Homo sapiens,China / Shandong / Qingdao,Asia,China,Shandong
EPI_ISL_408665,GenBank,"LC522973,EPI_ISL_408665",Complete,29878,High,Homo sapiens,Japan / Tokyo,Asia,Japan,Tokyo
EPI_ISL_408666,GenBank,"LC522974,EPI_ISL_408666",Complete,29878,High,Homo sapiens,Japan / Tokyo,Asia,Japan,Tokyo
EPI_ISL_408667,GenBank,"LC522975,EPI_ISL_408667",Complete,29878,High,Homo sapiens,Japan / Tokyo,Asia,Japan,Tokyo
EPI_ISL_408668,GISAID,"EPI_ISL_408668,EPI_ISL_416427",Complete,29889,High,Homo sapiens,Vietnam / Thanh Hoa,Asia,China,Hubei
EPI_ISL_408669,GenBank,"LC522972,EPI_ISL_408669",Complete,29878,High,Homo sapiens,Japan / Kyoto,Asia,Japan,Kyoto
EPI_ISL_408670,GenBank,"MT039887,EPI_ISL_408670",Complete,29879,High,Homo sapiens,United States / Wisconsin,Asia,China,Hubei
EPI_ISL_408976,GISAID,"EPI_ISL_408976,",Complete,29741,High,Homo sapiens,Australia / New South Wales / Sydney,Asia,China,New South Wales
EPI_ISL_408977,GISAID,"EPI_ISL_408977,",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Asia,China,New South Wales
EPI_ISL_409067,GenBank,"MT039888,EPI_ISL_409067",Complete,29882,High,Homo sapiens,United States / Massachusetts,Asia,China,Hubei
EPI_ISL_410044,GenBank,"MT044258,EPI_ISL_410044",Complete,29858,High,Homo sapiens,United States / California,Asia,China,Hubei
EPI_ISL_410045,GenBank,"MT044257,EPI_ISL_410045",Complete,29882,High,Homo sapiens,United States / Illinois,Asia,China,Hubei
EPI_ISL_411929,GenBank,"MT039890,EPI_ISL_411929",Complete,29903,High,Homo sapiens,South Korea,Europe,France,Hubei
MT049951,GenBank,"MT049951,",Complete,29903,High,Homo sapiens,China / Yunnan,Asia,China, Yunnan
EPI_ISL_410218,GenBank,"MT066176,EPI_ISL_410218",Complete,29870,High,Homo sapiens,China / Taiwan / Taipei,Asia,China,Hubei
EPI_ISL_410301,GenBank,"MT072688,EPI_ISL_410301",Complete,29811,High,Homo sapiens,Nepal / Kathmandu,Asia,China,Hubei
EPI_ISL_408485,GISAID,"EPI_ISL_408485,",Complete,29890,High,Homo sapiens,China / Beijing,Asia,China,Beijing
EPI_ISL_410531,GISAID,"EPI_ISL_410531,",Complete,29878,High,Homo sapiens,Japan / Nara,Asia,Japan,Nara
EPI_ISL_410532,GISAID,"EPI_ISL_410532,",Complete,29878,High,Homo sapiens,Japan / Osaka,Asia,China,Hubei
EPI_ISL_410535,GISAID,"EPI_ISL_410535,",Complete,29409,High,Homo sapiens,Singapore,Asia,China,Hubei
EPI_ISL_410536,GISAID,"EPI_ISL_410536,",Complete,29843,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410537,GISAID,"EPI_ISL_410537,",Complete,29829,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410545,GISAID,"EPI_ISL_410545,",Complete,29867,High,Homo sapiens,Italy / Rome,Asia,China,Hubei
EPI_ISL_410546,GISAID,"EPI_ISL_410546,",Complete,29785,High,Homo sapiens,Italy / Rome,Asia,China,Hubei
EPI_ISL_410713,GISAID,"EPI_ISL_410713,",Complete,29891,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410714,GISAID,"EPI_ISL_410714,",Complete,29758,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410715,GISAID,"EPI_ISL_410715,",Complete,29891,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410716,GISAID,"EPI_ISL_410716,",Complete,29889,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410717,GISAID,"EPI_ISL_410717,",Complete,29865,High,Homo sapiens,Australia / Queensland / Gold Coast,Oceania,Australia,Queensland
EPI_ISL_410718,GISAID,"EPI_ISL_410718,",Complete,29865,High,Homo sapiens,Australia / Queensland / Gold Coast,Oceania,Australia,Queensland
EPI_ISL_410719,GISAID,"EPI_ISL_410719,",Complete,29845,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_410720,GISAID,"EPI_ISL_410720,",Complete,29874,High,Homo sapiens,France / Ile-de-France / Paris,Europe,France,Ile de France
EPI_ISL_410984,GISAID,"EPI_ISL_410984,",Complete,29903,High,Homo sapiens,France / Ile-de-France / Paris,Europe,France,Ile de France
EPI_ISL_411060,GISAID,"EPI_ISL_411060,",Complete,29871,High,Homo sapiens,China / Fujian,Asia,China,Fujian
EPI_ISL_411066,GISAID,"EPI_ISL_411066,",Complete,29891,High,Homo sapiens,China / Fujian,Asia,China,Fujian
EPI_ISL_411218,GISAID,"EPI_ISL_411218,",Complete,29873,High,Homo sapiens,France / Ile-de-France / Paris,Europe,France,Ile de France
EPI_ISL_411219,GISAID,"EPI_ISL_411219,",Complete,29872,High,Homo sapiens,France / Ile-de-France / Paris,Europe,France,Ile de France
EPI_ISL_411220,GISAID,"EPI_ISL_411220,",Complete,29878,High,Homo sapiens,France / Ile-de-France / Paris,Europe,France,Ile de France
EPI_ISL_411902,GISAID,"EPI_ISL_411902,",Complete,29873,High,Homo sapiens,Cambodia / Sihanoukville,Asia,China,Hubei
EPI_ISL_411926,GISAID,"EPI_ISL_411926,",Complete,29891,High,Homo sapiens,China / Taiwan / Taipei,Asia,China,Taiwan
EPI_ISL_411927,GISAID,"EPI_ISL_411927,",Complete,29890,High,Homo sapiens,China / Taiwan / Taipei,Asia,China,Taiwan
EPI_ISL_411957,GenBank,"MT093631,EPI_ISL_411957",Complete,29911,High,Homo sapiens,China,Asia,China,Hubei
EPI_ISL_411951,GenBank,"MT093571,EPI_ISL_411951",Complete,29886,High,Homo sapiens,Sweden,Europe,Sweden,Sm氓land
EPI_ISL_411950,GISAID,"EPI_ISL_411950,",Complete,29891,High,Homo sapiens,China / Jiangsu,Asia,China,Jiangsu
EPI_ISL_411952,GISAID,"EPI_ISL_411952,",Complete,29891,High,Homo sapiens,China / Jiangsu,Asia,China,Jiangsu
EPI_ISL_411953,GISAID,"EPI_ISL_411953,",Complete,29891,High,Homo sapiens,China / Jiangsu,Asia,China,Jiangsu
EPI_ISL_411954,GenBank,"MT106052,EPI_ISL_411954",Complete,29882,High,Homo sapiens,United States / California,Asia,China,Hubei
EPI_ISL_411955,GenBank,"MT106053,EPI_ISL_411955",Complete,29882,High,Homo sapiens,United States / California,North America,USA,California
EPI_ISL_411956,GenBank,"MT106054,EPI_ISL_411956",Complete,29882,High,Homo sapiens,United States / Texas,Asia,China,Hubei
EPI_ISL_412026,GISAID,"EPI_ISL_412026,",Complete,29870,High,Homo sapiens,China / Anhui / Hefei,Asia,China,Anhui
EPI_ISL_412028,GISAID,"EPI_ISL_412028,",Complete,29851,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_412029,GISAID,"EPI_ISL_412029,",Complete,29793,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_412030,GISAID,"EPI_ISL_412030,",Complete,29843,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_412116,GISAID,"EPI_ISL_412116,",Complete,29903,High,Homo sapiens,United Kingdom,Asia,China,Hubei
EPI_ISL_412459,GISAID,"EPI_ISL_412459,",Complete,29848,High,Homo sapiens,China / Hubei / Jingzhou,Asia,China,Hubei
EPI_ISL_412862,GenBank,"MT118835,EPI_ISL_412862",Complete,29882,High,Homo sapiens,United States / California / Solano,North America,USA,California
EPI_ISL_412873,GISAID,"EPI_ISL_412873,",Complete,29789,High,Homo sapiens,South Korea / Chungcheongnam-do,Asia,South Korea,Chungcheongnam
EPI_ISL_412872,GISAID,"EPI_ISL_412872,",Complete,29789,High,Homo sapiens,South Korea / Gyeonggi-do,Asia,South Korea,Gyeonggi
EPI_ISL_412871,GISAID,"EPI_ISL_412871,",Complete,29789,High,Homo sapiens,South Korea / Seoul,Asia,South Korea,Seoul
EPI_ISL_412870,GISAID,"EPI_ISL_412870,",Complete,29789,High,Homo sapiens,South Korea/ Seoul,Asia,South Korea,Seoul
EPI_ISL_412869,GISAID,"EPI_ISL_412869,",Complete,29789,High,Homo sapiens,South Korea /Seoul,Asia,South Korea,Seoul
EPI_ISL_412898,GISAID,"EPI_ISL_412898,",Complete,29848,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412899,GISAID,"EPI_ISL_412899,",Complete,29848,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412912,GISAID,"EPI_ISL_412912,",Complete,29756,High,Homo sapiens,Germany / Baden-Wuerttemberg,Europe,Italy,Lombardy
EPI_ISL_412967,GenBank,"MT123291,EPI_ISL_412967",Complete,29927,High,Homo sapiens,China / Guangdong / Guangzhou,Asia,China,Guangdong
EPI_ISL_412966,GenBank,"MT123290,EPI_ISL_412966",Complete,29891,High,Homo sapiens,China / Guangdong / Guangzhou,Asia,China,Guangdong
EPI_ISL_412969,GenBank,"LC528233,EPI_ISL_412969",Complete,29902,High,Homo sapiens,Japan / Kanagawa,Asia,Japan,Kanagawa
EPI_ISL_412968,GenBank,"LC528232,EPI_ISL_412968",Complete,29902,High,Homo sapiens,Japan / Kanagawa,Asia,Japan,Kanagawa
EPI_ISL_412970,GenBank,"MT152824,EPI_ISL_412970",Complete,29903,High,Homo sapiens,United States / Washington / Snohomish County,North America,USA,Washington
EPI_ISL_412973,GISAID,"EPI_ISL_412973,",Complete,29903,High,Homo sapiens,Italy / Lombardy,Europe,Italy,Lombardy
EPI_ISL_412972,GISAID,"EPI_ISL_412972,",Complete,29865,High,Homo sapiens,Mexico / Mexico City,Europe,Italy,Lombardy
EPI_ISL_412974,GISAID,"EPI_ISL_412974,",Complete,29903,High,Homo sapiens,Italy / Rome,Europe,Italy,Lazio
EPI_ISL_412975,GISAID,"EPI_ISL_412975,",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Asia,Iran,Iran
EPI_ISL_412978,GISAID,"EPI_ISL_412978,",Complete,29846,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412979,GISAID,"EPI_ISL_412979,",Complete,29848,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412980,GISAID,"EPI_ISL_412980,",Complete,29845,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412981,GISAID,"EPI_ISL_412981,",Complete,29843,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412982,GISAID,"EPI_ISL_412982,",Complete,29838,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_412983,GISAID,"EPI_ISL_412983,",Complete,29697,High,Homo sapiens,China / Hubei / Tianmen,Asia,China,Hubei
EPI_ISL_413015,GISAID,"EPI_ISL_413015,",Complete,29879,High,Homo sapiens,Canada / Ontario,North America,Canada,
EPI_ISL_413014,GISAID,"EPI_ISL_413014,",Complete,29851,High,Homo sapiens,Canada / Ontario,Asia,China,Hubei
EPI_ISL_413016,GISAID,"EPI_ISL_413016,",Complete,29903,High,Homo sapiens,Brazil / Sao Paulo/ Sao Paulo,Europe,Italy,Lombardy
MT126808,Genbank,"MT126808,",Complete,29876,High,Homo sapiens,Brazil,South America,Brazil,
EPI_ISL_413017,GISAID,"EPI_ISL_413017,",Complete,29903,High,Homo sapiens,South Korea,Asia,South Korea,South Korea
EPI_ISL_413018,GISAID,"EPI_ISL_413018,",Complete,29858,High,Homo sapiens,South Korea,Asia,South Korea,South Korea
EPI_ISL_413019,GISAID,"EPI_ISL_413019,",Complete,29879,High,Homo sapiens,Switzerland / Zurich,Europe,Switzerland,Zurich
EPI_ISL_413020,GISAID,"EPI_ISL_413020,",Complete,29864,High,Homo sapiens,Switzerland / Zurich,Europe,Switzerland,Zurich
EPI_ISL_413021,GISAID,"EPI_ISL_413021,",Complete,29875,High,Homo sapiens,Switzerland / Zurich,Europe,Switzerland,Zurich
EPI_ISL_413022,GISAID,"EPI_ISL_413022,",Complete,29845,High,Homo sapiens,Switzerland / Zurich,Europe,Italy,Lombardy
EPI_ISL_413023,GISAID,"EPI_ISL_413023,",Complete,29788,High,Homo sapiens,Switzerland / Zurich,Europe,Italy,Lombardy
EPI_ISL_413024,GISAID,"EPI_ISL_413024,",Complete,29871,High,Homo sapiens,Switzerland / Zurich,Europe,Switzerland,Zurich
EPI_ISL_413025,GenBank,"MT163716,EPI_ISL_413025",Complete,29903,High,Homo sapiens,United States / Washington,Asia,South Korea,South Korea
EPI_ISL_413518,GenBank,"MT135041,EPI_ISL_413518",Complete,29903,High,Homo sapiens,China / Beijing,Asia,China,Beijing
EPI_ISL_413519,GenBank,"MT135042,EPI_ISL_413519",Complete,29903,High,Homo sapiens,China / Beijing,Asia,China,Beijing
EPI_ISL_413520,GenBank,"MT135043,EPI_ISL_413520",Complete,29903,High,Homo sapiens,China / Beijing,Asia,China,Beijing
EPI_ISL_413521,GenBank,"MT135044,EPI_ISL_413521",Complete,29903,High,Homo sapiens,China / Beijing,Asia,China,Beijing
EPI_ISL_413213,GISAID,"EPI_ISL_413213,",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Asia,Iran,Iran
EPI_ISL_413214,GISAID,"EPI_ISL_413214,",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_413455,GenBank,"MT163717,EPI_ISL_413455",Complete,29897,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_413456,GISAID,"EPI_ISL_413456,",Complete,29903,High,Homo sapiens,United States / Washington / King County,North America,USA,Washington
EPI_ISL_413457,GenBank,"MT163718,EPI_ISL_413457",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_413458,GenBank,"MT163719,EPI_ISL_413458",Complete,29903,High,Homo sapiens,United States  / Washington,North America,USA,Washington
EPI_ISL_413459,GISAID,"EPI_ISL_413459,",Complete,29635,High,Homo sapiens,Japan / Tokyo,Asia,Japan,Tokyo
EPI_ISL_413485,GISAID,"EPI_ISL_413485,",Complete,29860,High,Homo sapiens,China / Anhui / Suzhou,Asia,China,Anhui
EPI_ISL_413486,GenBank,"MT163720,EPI_ISL_413486",Complete,29732,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_413488,GISAID,"EPI_ISL_413488,",Complete,29903,High,Homo sapiens,Germany / North Rhine Westphalia / Heinsberg District,Europe,Germany,North Rhine Westphalia
EPI_ISL_413490,GISAID,"EPI_ISL_413490,",Complete,29903,High,Homo sapiens,New Zealand / Auckland,Asia,Iran,Iran
EPI_ISL_413489,GISAID,"EPI_ISL_413489,",Complete,29887,High,Homo sapiens,Italy / Lombardy / Milan,Europe,Italy,Lombardy
